	glogfc
K00818	0.668615530524649
K00819	0.420920661164284
K00820	-0.138579057033876
K00821	0.14408750006556
K00823	0.124177536495162
K00824	0.234374459462619
K00826	-0.453292095297266
K00830	0.177283850536125
K00831	0
K00832	0.158548351792514
K00833	0.130461386592308
K00835	1.34989262280781
K00836	0.276009652141298
K00841	-0.183851619366223
K00842	-0.246826659880615
K00847	-0.0909090909090909
K00848	-0.0675361127453058
K00849	-0.173353690509865
K00850	-0.348529739401709
K00851	-0.023705643947403
K00852	0
K00853	-0.0672133076571041
K00854	-0.0643556548027811
K00855	0.0122884983247722
K00857	-0.120175281353397
K00858	-0.902496021223768
K00859	-0.463547613473242
K00863	0.0669968721969278
K00864	-0.0909090909090909
K00865	0
K00867	0.211084372262487
K00868	-0.0733959020052367
K00869	-0.320406975068352
K00872	-0.0909090909090909
K00873	-0.020217492848768
K00876	-0.111126583757859
K00878	-0.0531784091564687
K00880	0.000295168637333567
K00882	-0.0999577885046286
K00884	0.025394720301928
K00885	0.170276367243227
K00886	-0.0441297115609311
K00887	-0.14408750006556
K00891	-0.14408750006556
K00895	-0.216884187664633
K00897	-0.425555860576145
K00899	0.30751990438442
K00901	-0.0108457849822424
K00906	-0.065696736302902
K00912	0
K00917	-0.114821309621254
K00919	0.14408750006556
K00925	0.0313021705577728
K00926	0.00112772917188957
K00927	-0.565606965568351
K00928	-0.435295099919082
K00929	0.0951073203321322
K00930	0.06242500610915
K00931	0
K00936	-0.258432750744436
K00937	0
K00938	0
K00939	-0.203367199754623
K00940	-0.14408750006556
K00941	-0.0770906278686327
K00942	-0.5697078673359
K00943	0.637979347785422
K00945	-0.133993744393856
K00946	-0.14408750006556
K00948	-0.0531784091564687
K00949	-0.13434669482367
K00950	0
K00952	-0.527576358172789
K00954	-0.415717242583689
K00956	-0.068073479894483
K00957	0.0119795618034476
K00958	0.0177435667860757
K00963	-0.719017939517103
K00965	-0.0239122187121631
K00969	-0.0909090909090909
K00970	-0.14408750006556
K00971	0
K00973	0.533364312099982
K00974	-0.27521992043063
K00975	-0.0909090909090909
K00978	-1.61070982584199
K00979	-0.323134690480253
K00980	-0.245999381088643
K00981	-0.17704841637326
K00982	0.659815003286854
K00983	0.086639217168384
K00986	0.000791677019246348
K00989	0
K00990	0.424781009431742
K00991	-0.17704841637326
K00995	0
K00996	-0.0728444281973017
K00997	-0.14408750006556
K00998	-0.0761891738077477
K01000	-0.442524951394739
K01006	-0.0825168409105743
K01007	0.294575591678835
K01008	0.362708800233206
K01011	-0.0691288028293639
K01012	-0.341213160001068
K01023	-0.0819497285076739
K01027	0.180652632590972
K01034	0.266307881047312
K01035	-0.0977261779824287
K01039	-0.360343342824837
K01040	0.150248104226901
K01042	0.161847347228643
K01048	-0.214421511247714
K01051	0.0270609667758173
K01055	-0.0164105369706378
K01056	-0.350987057621729
K01057	-0.195444872748187
K01058	-0.0660456123653116
K01060	-0.0909090909090909
K01070	0.0394150089215566
K01071	0
K01077	-0.214445453813524
K01079	0.0669968721969278
K01081	0
K01082	0.000267116374667415
K01085	-0.29174541688815
K01089	-0.31954621512449
K01090	0.355171872328047
K01091	0
K01092	0.323358920413779
K01095	0.14408750006556
K01096	-0.310983942131084
K01101	0
K01104	-0.0669968721969278
K01113	0.193617563475029
K01118	-0.00160762905114805
K01119	-0.14408750006556
K01126	0
K01129	0.000175105626313025
K01130	-0.0749551533674849
K01139	0.144087500065559
K01141	-0.0586712727108631
K01142	0.215322153640398
K01144	-0.404087621148977
K01147	0.408440763788639
K01151	-0.334285000728092
K01153	0
K01154	-8.7494395924249e-05
K01155	-0.111360578636389
K01156	0.327000102880394
K01159	-0.451865959938775
K01160	0.14408750006556
K01163	-0.984811250083738
K01166	-0.503301790227757
K01173	-0.866181855280524
K01174	-0.229343702426521
K01175	-0.153691801610198
K01176	-0.14408750006556
K01179	-0.643272205423114
K01182	0.355171872328047
K01185	-0.614961763913765
K01186	0.144087500065559
K01187	-0.41387595441088
K01190	-0.14408750006556
K01191	-0.067761449135794
K01193	-0.0733959020052367
K01194	0.14148405548252
K01198	-0.135227480696872
K01200	-0.0178011676361991
K01201	-0.204879352165907
K01206	-0.0441297115609311
K01207	-0.341955975664467
K01209	-0.157173347981779
K01215	-0.020217492848768
K01218	-0.0699131584807014
K01220	-0.234996590974651
K01222	-0.164419272941289
K01223	-0.173353690509865
K01224	-0.0195443175859244
K01226	-0.0770906278686319
K01227	-0.0217488280828271
K01232	-0.762656947430403
K01236	-0.170779918657633
K01239	-0.00101636979832068
K01243	-0.0441297115609311
K01246	0.811430169158811
K01251	-0.0012328673423777
K01252	0.514534527382052
K01255	0
K01258	0.0100937556717041
K01259	-0.0177428559778431
K01261	0
K01262	-0.280103296803154
K01265	0.127671841370849
K01267	-0.217371440812354
K01269	-0.426999455159285
K01270	-0.288175000131119
K01271	-0.0909090909090909
K01273	-0.365847996085511
K01274	-0.10232098928035
K01277	0.146816029924424
K01278	-0.134481884033945
K01281	-0.194740878086504
K01284	-0.937662147208817
K01286	-0.14408750006556
K01295	-0.0663716065803541
K01297	-0.0206400840173299
K01299	-0.0669774338498425
K01304	-0.167999718777723
K01305	-0.624919950305247
K01322	-0.277249126212231
K01342	-0.00645564358838868
K01354	-0.0669968721969278
K01356	0.567804595495087
K01358	-0.0824445996007743
K01361	0.0103364425369654
K01364	0.0183821131260024
K01372	-0.0706915980603229
K01390	-0.0756271789238499
K01409	-0.308468945383466
K01414	0.14408750006556
K01419	0.043926032921126
K01421	0
K01424	-0.257738783430991
K01425	-0.0140367458963298
K01426	-0.0211656129946114
K01428	-0.0176811938438858
K01429	-0.0164108184891328
K01430	0.133568205879497
K01433	0.0128029117865432
K01436	0.0531784091564687
K01438	0.221842299916931
K01439	0.0292661904443056
K01443	-0.181818181818182
K01447	-0.0700497688197104
K01448	-0.144087500065559
K01451	-0.0680692547412285
K01460	-0.302126690191091
K01462	0.0669968721969278
K01464	-0.0397807630136252
K01465	-0.109677352497038
K01467	-0.0239122187121631
K01468	-0.145044833473937
K01476	-0.0666071517363514
K01478	0
K01479	0.29437801633152
K01480	-1.32196641977139
K01482	0.355227552240588
K01485	-0.339850609643794
K01486	0.200874967514644
K01487	-0.436466501000636
K01488	-0.0211314658271178
K01489	-0.181818181818182
K01491	-0.306293982696884
K01493	-0.211084372262487
K01494	0.810771657394412
K01495	-0.0636763380128264
K01496	0.14408750006556
K01497	0.144087500065559
K01505	-0.777388492523966
K01507	0
K01512	0
K01515	0.188217211626491
K01520	0.0377306817526222
K01523	0.14408750006556
K01524	0.632423832297848
K01525	0
K01531	-0.0270568088687316
K01533	-0.00442599784548263
K01534	-0.0413789750157059
K01537	-0.0430178937505752
K01551	0.584391164326288
K01569	0.268046198954061
K01571	-0.393484166187365
K01572	-0.206581729788668
K01575	-0.0909090909090909
K01579	-0.247925870306693
K01580	-0.062897973148879
K01581	0.41492029129564
K01585	-1.10726156887339
K01586	-0.0327178131896712
K01588	-0.640541818596728
K01589	0.0377306817526222
K01591	-0.0909090909090909
K01595	0.006044126029369
K01596	0.0669968721969278
K01597	-0.159535227469406
K01598	-0.0909090909090909
K01599	0
K01601	-0.0642320947638291
K01602	0.149415504961553
K01607	0.187307824687393
K01609	-0.14408750006556
K01610	-0.262764605616833
K01611	-0.0734684947837307
K01613	-0.170406283446912
K01615	-0.108296316587573
K01619	-0.0909090909090909
K01620	-0.000199869165708254
K01621	-0.0178173782843513
K01623	-0.146593381949304
K01624	-0.0310033561668243
K01625	-0.066910368871359
K01626	0
K01627	0
K01628	0.150460062183062
K01629	-0.113708185223017
K01633	-0.14408750006556
K01635	-0.14408750006556
K01637	-0.0242469826432134
K01638	-0.0239995900343992
K01639	-0.14408750006556
K01641	-0.0605453702556421
K01643	-0.0272778649782685
K01644	0.466009641918182
K01646	-0.026694878444668
K01647	-0.238778309469983
K01649	-0.0909090909090909
K01652	0.173353690509865
K01653	0.144087500065559
K01654	0
K01657	-0.14408750006556
K01658	-0.211084372262487
K01659	1.46737115785629
K01661	0
K01662	-0.212441576321806
K01664	0.243937672188646
K01665	-0.794432253126265
K01667	0.439713073107631
K01668	0.318314394763516
K01673	0.0999577885046286
K01674	0.134416664005601
K01676	0.325166497302859
K01677	-0.620299003356622
K01678	-0.15222843942822
K01679	0.403497290340361
K01681	-0.072430906999694
K01682	-0.0659489068841443
K01684	-0.0140685770102019
K01687	-0.0222829543487756
K01689	-0.108903579782901
K01690	0.380128573776844
K01692	-0.0497276371743832
K01693	0
K01695	-0.0292661904443056
K01696	0.0531784091564687
K01697	-0.234186250984536
K01698	-0.285614232319314
K01699	-0.133036410985477
K01703	-0.0909090909090909
K01704	-0.123870007216792
K01708	-0.0167010866520353
K01709	0.198985130552364
K01710	-0.0824445996007743
K01711	-0.682368163047229
K01712	-0.539066888182596
K01713	0.461607153487916
K01714	-0.0999577885046286
K01715	0.0282381458498348
K01716	0.199971575198435
K01719	-0.14408750006556
K01733	-0.0616429004647853
K01734	0.0549315669663205
K01735	-0.160312527775218
K01736	-0.255214083823419
K01737	-0.153990624752211
K01738	-0.020217492848768
K01739	0
K01740	-0.0909090909090909
K01744	0
K01745	-0.0857651337848757
K01746	-0.14408750006556
K01749	-0.139921005858415
K01750	0
K01751	-0.603691062426655
K01752	0.312934303726445
K01753	-0.0677879301938653
K01754	-0.0292661904443056
K01755	0
K01756	-0.14408750006556
K01759	-0.669665655840529
K01760	-0.283771331489505
K01761	0.155165461303805
K01766	-0.489416584702132
K01768	0.300361042588142
K01770	0.939537793915729
K01772	0
K01775	-1.74253305029493
K01776	-0.778995580069166
K01778	-0.0575666149944406
K01779	0.14408750006556
K01783	-0.17704841637326
K01784	-0.117227874290453
K01785	0
K01787	0.158236743623965
K01788	-0.106356818312937
K01790	-0.866806243373507
K01791	0
K01792	-0.0179093686937787
K01799	0.180284383743462
K01802	0.656194219488769
K01803	-0.811651521485117
K01805	-0.0170620741402277
K01807	0
K01808	-0.308036177818685
K01809	0
K01810	-0.0497267864111027
K01812	0.267455713023776
K01813	-0.111126583757859
K01814	0.0255281006874335
K01815	-0.0683733226359445
K01816	-0.163759190004007
K01817	-0.0375074406865937
K01818	0
K01819	-0.0999577885046286
K01821	0.020217492848768
K01823	-0.128639772661713
K01834	-0.0909090909090909
K01835	0.0531784091564687
K01838	0.184993980919035
K01839	-0.0232201110658108
K01840	-0.245120328151714
K01843	-0.172040802656744
K01844	0.177249683990448
K01845	-0.803156597472366
K01846	-0.218107706755397
K01847	-0.0703190007735172
K01848	-0.0754717352853842
K01849	-0.147374677356784
K01854	-0.128639772661713
K01858	-0.27795189880831
K01866	-0.0263187833813622
K01867	-0.2275771577425
K01868	-0.597487250776397
K01873	0.27899053357464
K01874	-0.764138706493309
K01875	-0.465539240682913
K01876	0.0669968721969278
K01878	0.114693637322254
K01879	-0.0268596257751065
K01880	-0.133036410985477
K01881	-0.21576894504795
K01883	-0.0669968721969278
K01885	-0.087107256755034
K01886	-0.344737013487151
K01887	-0.516070073840678
K01889	-0.123870007216792
K01890	0.0872651185965179
K01892	-0.0909090909090909
K01893	-0.0100937556717041
K01894	-0.0460312099768429
K01895	-0.164884568950446
K01897	0.435856634338524
K01902	0
K01903	0.42731270164919
K01905	0.180312556264232
K01906	-0.0573061822996443
K01910	-0.00462683785178603
K01911	0
K01912	-0.295644484904074
K01914	-0.170406283446922
K01915	-0.0606749691739208
K01916	0
K01918	0.14408750006556
K01919	0.303442694432398
K01920	0.14408750006556
K01921	0.188217211626492
K01922	0
K01923	-0.379040013037904
K01924	-0.391787814983782
K01925	-0.578809323685082
K01926	-0.222900443818401
K01928	-0.0712369914621054
K01929	-0.721327815801849
K01933	-0.729663325487093
K01934	0.0531784091564687
K01935	0
K01938	-0.0546276404172888
K01939	0.074802393710913
K01940	-0.0279707258952624
K01945	0
K01947	-0.0292513478594714
K01950	-0.263060001559034
K01951	-0.0719466707444166
K01952	0.275588930133924
K01953	0.118222797721089
K01956	-0.160312527775218
K01958	-0.162652948143824
K01959	-0.311198517882891
K01960	-0.0749739652348124
K01961	-0.0418423881923735
K01962	-0.034035955889227
K01963	-0.127925034682352
K01966	0.142557988916345
K01972	-0.432262500196679
K01975	-0.066433484038772
K01989	-0.034035955889227
K01990	-0.175693266219318
K01991	0.124147388641254
K01992	-0.247626190867299
K01993	0.354981711177044
K01995	0.14408750006556
K01996	-0.0909090909090909
K01997	-0.120175281353397
K01998	-0.14408750006556
K01999	0
K02000	0.504728354002423
K02001	0
K02002	0.32326269195296
K02003	-0.0492630708026609
K02004	-0.17849764763408
K02005	-0.034035955889227
K02006	0
K02007	-0.0669968721969278
K02008	-0.288175000131119
K02009	-0.700575033102214
K02010	-0.0669968721969278
K02011	-0.0387841339594587
K02012	0
K02013	0.645691175510947
K02014	-0.0669968721969278
K02015	0.940230495459216
K02016	0.343873478156539
K02017	0.51437786060224
K02018	0.910667534213253
K02019	-0.0181137091939612
K02020	0.422168744524975
K02022	0.29895123886486
K02025	0.0441297115609311
K02026	-0.0239122187121631
K02027	-0.0616429004647853
K02028	-0.0770906278686319
K02029	-0.0377306817526222
K02030	-0.0519233364723762
K02031	-0.933336222980497
K02032	-0.308206948169149
K02033	-0.23466022320372
K02034	-0.293455405545635
K02035	0.233990754228407
K02036	0.0531784091564687
K02037	-0.0450870449693101
K02038	0.0292661904443056
K02039	0.0263187833813622
K02040	0
K02041	-0.593011154219061
K02042	-0.164380131326366
K02044	-1.34433272880307
K02045	0.257903843957924
K02046	0.323649197788964
K02047	0.274290399797562
K02048	-0.0203524151540894
K02049	-0.00132480009884294
K02050	1.00615883201397
K02051	0.263413884639016
K02052	-0.0121844951661646
K02053	0.144282611205439
K02054	0.130575019947595
K02055	0.129990421505663
K02056	-0.303442694432398
K02057	-0.211084372262487
K02062	-0.030926109554687
K02063	-0.00232771055912712
K02064	0.000529916254745189
K02065	0
K02066	-0.245412671517743
K02067	0.14408750006556
K02069	-0.164691066868751
K02071	-0.823691672891995
K02072	-0.139160945487051
K02073	-0.451137467801604
K02075	0
K02077	0.14408750006556
K02078	-0.0706915980603229
K02082	-0.0669968721969278
K02086	0.14408750006556
K02106	-0.0174888850773536
K02107	-0.633613654160196
K02108	-0.151638021858974
K02109	-0.430131441434884
K02110	-0.051079898873465
K02111	-0.138124923553962
K02112	-0.0742850857136536
K02113	-0.0889066994245455
K02114	-0.270745723314147
K02115	-0.118414797274585
K02116	-0.0675178482618138
K02117	-0.288175000131119
K02118	-0.14408750006556
K02119	-0.32113591643882
K02120	-0.535979965832848
K02121	-0.288175000131119
K02122	-0.211084372262487
K02123	0
K02124	-0.288175000131119
K02152	0.0229339737269098
K02160	-0.0531784091564687
K02169	-0.161726866257432
K02170	-0.0335626163134044
K02188	-0.170406283446922
K02189	-0.269801781295532
K02190	-0.288175000131119
K02191	-0.32113591643882
K02192	-0.0672522338976846
K02193	-0.00477432094511569
K02194	-0.177573526703235
K02195	-0.0354267812313716
K02196	-0.0766985346413627
K02197	0.230752008757418
K02198	-0.0668014248756873
K02199	0.0871481567006827
K02200	0.277204046121737
K02204	-0.067624516173913
K02217	-0.683649407866508
K02224	-0.259312982871467
K02226	-0.815536204476203
K02227	-0.551908238248721
K02231	-0.17704841637326
K02232	-0.17704841637326
K02233	-0.211084372262487
K02236	0.14408750006556
K02237	-0.14408750006556
K02238	-0.495265686614518
K02240	-0.0377306817526222
K02242	-0.0329609163077008
K02243	0
K02244	-0.0935062865633442
K02245	0
K02246	0.00369472586339515
K02248	0
K02259	0.211699805921581
K02274	0.14408750006556
K02275	1.02964238463783
K02278	-0.0133682792933676
K02282	0.00307783430095525
K02283	0.507434812839215
K02291	-0.010078831446082
K02302	-0.0651268563066971
K02303	0.330623834283442
K02304	-0.288175000131119
K02313	-0.396465709197742
K02314	-0.831859453375998
K02315	0.0925699041548624
K02316	-0.759000223088907
K02334	-0.0283683791362496
K02335	-0.0909090909090909
K02337	-0.0100927811037845
K02338	-0.374454601355693
K02339	0.144087500065559
K02340	-0.624973653623575
K02341	-1.01318848738381
K02342	-0.14408750006556
K02343	-0.82444535989262
K02344	-0.587716860128919
K02346	0.0999577885046286
K02348	0
K02355	-0.26510541023098
K02356	-0.297547135855129
K02357	-0.14408750006556
K02358	-0.00802803801160554
K02361	-0.231873282691473
K02363	0.180371082297755
K02364	0.485036004691324
K02371	0.0441297115609311
K02372	-0.323873078801951
K02377	-0.0673636211165429
K02379	0.141473041438211
K02380	-0.337558440261047
K02387	-0.169867944368224
K02388	-0.0213432353205737
K02389	-0.0581990496122028
K02390	-0.02358660998615
K02392	-0.0212845261793413
K02394	-0.022460512883062
K02396	-0.0649527545356783
K02400	-0.0655494272819132
K02401	-0.0206556289601387
K02404	-0.0136479061227577
K02405	-0.0503048323731421
K02406	-0.021048540406909
K02407	-0.0642401630544601
K02408	-0.0667028716568384
K02409	-0.0439516057628663
K02410	-0.167920644257288
K02411	-0.019163023887126
K02412	-0.0197004489850372
K02415	-0.0240113298731288
K02416	-0.165777061874663
K02417	-0.034041513784857
K02419	-0.0146934860587765
K02421	-0.0110486766952262
K02424	0.269801781295532
K02426	0.111214548059859
K02427	0
K02428	-0.211084372262487
K02429	-0.0672118166923086
K02430	0.000492860504256111
K02431	-0.115143660813295
K02433	-0.0909090909090909
K02434	-0.0909090909090909
K02435	-0.128639772661713
K02437	0.0313759532771535
K02438	0.139185851169772
K02439	-0.0138003706001929
K02440	-0.0377306817526222
K02441	-0.0821474755534914
K02443	-0.0651991203171592
K02444	0
K02445	0.0889361759635111
K02446	0.268434405334776
K02453	-0.190512478297355
K02454	-0.324002564899441
K02455	-0.0658172309856717
K02470	0.14408750006556
K02471	0.14408750006556
K02472	0.123184489174332
K02474	-1.77953351351557
K02477	-0.944215774656243
K02481	0.075851746202693
K02482	-0.0812486664022691
K02483	0.624888667976914
K02484	0.370619001057671
K02492	-0.0669968721969278
K02493	-0.0623537645065397
K02494	-8.7494395924249e-05
K02495	-0.133993744393856
K02496	0.0115686492155104
K02498	-8.7494395924249e-05
K02499	-0.630979978614253
K02500	-0.145590588638748
K02501	0
K02502	0
K02503	-0.2003433402881
K02504	-0.907479279683606
K02505	-0.53217438863582
K02506	-0.0636406610457979
K02507	-0.302882188925344
K02510	-0.0126386629482114
K02517	0
K02518	0.288175000131119
K02520	-0.446080963237138
K02521	0.107051309466946
K02523	-0.14408750006556
K02526	-0.0178492356246199
K02527	0.14408750006556
K02528	-0.0669968721969278
K02529	-0.0946038167724861
K02530	-0.0909090909090909
K02531	0
K02532	-0.0672113106120236
K02533	-0.170154037367329
K02535	-0.300379500541399
K02536	-0.532722282477438
K02548	-0.14408750006556
K02549	0.711929086151936
K02551	0
K02552	0.210153434405961
K02553	0.00823890597248645
K02556	-0.0211483822717973
K02557	-0.183627160823145
K02558	-0.00125079784846091
K02560	0.479335346347193
K02563	-0.644742141944024
K02564	-0.234996590974651
K02565	-0.245794218369786
K02566	-0.106252574488668
K02567	-0.069992447751209
K02568	-0.22854301229076
K02569	-0.532087425848526
K02570	0.0690510644384077
K02572	-0.817556703767534
K02573	-0.129356042323791
K02574	0.0402122678510124
K02575	0
K02584	-0.0672765242040996
K02585	-0.178266261077496
K02598	-1.0559479635531
K02600	-0.0669968721969278
K02601	-0.102628729810292
K02609	-0.0170122680429843
K02611	-0.01739129422568
K02613	-0.456112408389426
K02614	-0.00586227761073811
K02616	0.145376425479549
K02619	0
K02621	0.144087500065559
K02622	0.14408750006556
K02636	0.166007385940786
K02641	0.133261277707385
K02650	-0.0236706787382104
K02652	0.257866430931484
K02653	0
K02654	-0.281448664627595
K02655	-0.0664024638257549
K02656	-0.012440460511539
K02662	-0.0026767070811347
K02663	0.000971843477314332
K02664	-0.0574466073645787
K02666	-0.0656735494432158
K02668	-0.176058360845629
K02669	0
K02670	-0.0648667475448054
K02673	-0.0665338579079805
K02676	-0.0670773059864428
K02679	-0.237733045359645
K02680	-0.430577116206488
K02681	-0.230956605588801
K02682	-0.303747450136853
K02686	0.00424427241758287
K02687	0.0441297115609311
K02689	-0.235898323420515
K02690	-0.235549356659197
K02742	-0.309058852374594
K02744	0
K02745	-0.13081218251445
K02746	0.00387834639412723
K02747	-0.154254467383144
K02750	-0.531036616513785
K02755	0.196911196546003
K02757	-0.0768017763610364
K02759	-0.368298227722154
K02760	-0.261535986846425
K02761	-0.14408750006556
K02768	-0.0946038167724861
K02769	0.0445234983591508
