	dataset	All_shared_markers	Non_specific_markers	Specific_markers	Others
T5161	T5161	0.000778008298755187	0	0	0.999221991701245
T54	T54	0.00113464447806354	0.00037821482602118	0	0.998487140695915
T55	T55	0.000860091743119266	0.000286697247706422	0.000286697247706422	0.998566513761468
T64	T64	0.00115919629057187	0.000772797527047913	0.000772797527047913	0.997295208655332
T65	T65	0.00102986611740474	0.000343288705801579	0	0.998626845176794
T74	T74	0.00121212121212121	0.000404040404040404	0	0.998383838383838
T75	T75	0.000768639508070715	0.00051242633871381	0.00128106584678452	0.997437868306431
T84	T84	0.000834956860562204	0.000278318953520735	0	0.998886724185917
T85	T85	0.000738007380073801	0.0002460024600246	0	0.999015990159902
