	mean_md	spatial_dist_weighted_mean_md	mean_md_H_T51	mean_md_H_T52	mean_md_H_T53	mean_md_H_T54	mean_md_H_T55	mean_md_H_T61	mean_md_H_T62	mean_md_H_T63	mean_md_H_T64	mean_md_H_T65	mean_md_H_T71	mean_md_H_T72	mean_md_H_T73	mean_md_H_T74	mean_md_H_T75	mean_md_H_T81	mean_md_H_T82	mean_md_H_T83	mean_md_H_T84	mean_md_H_T85
139428.14341.S117	1.19601362735466	0.863647968066484	2.11709521404924	1.95539853805367	2.02670788730255	2.04238287288049	2.05666334664918	2.39756359547019	2.14897456714181	2.05338994002366	2.1163959935682	1.91809946537162	2.27688491188253	2.2669695879001	2.31314898201312	2.39992194414728	2.26286619229621	2.46740293460131	2.33506653945179	2.30043401892419	2.35753214725856	2.11828498576718
139428.14341.S118	1.68604002878052	1.22892875790225	1.19061471319549	1.50230640726562	1.4630730286516	1.47924273092096	1.64771628161148	1.22741250709247	1.14767639152204	1.44364192620268	1.54197213508108	1.5746986086093	1.18894319897718	1.33219794338882	1.3725713571365	1.34543945815594	1.4491521218837	1.35642690285114	1.45867195407416	1.51144015287656	1.42956988056413	1.30074768032811
139428.14341.S119	0.72588666645382	0.53601442056331	2.2219337068911	1.94895780867546	2.07140541387673	2.11175068334312	1.93690591959163	2.53837243048296	2.25188441663869	2.15480844168935	2.10897790910202	1.8556005469285	2.47236956082505	2.4395005440686	2.47822703238082	2.5319769737639	2.2906807910996	2.63274562872909	2.39264991981686	2.41248110212641	2.41913499846908	2.13848730938478
139428.14341.S12	1.07396067385092	0.680439042175419	1.58470895000818	1.48170813694855	1.59393497342164	1.60316478664028	1.23852970200624	1.80589339487498	1.63126312092669	1.62509508282098	1.49103908425819	1.22789063704441	1.91636702988771	1.8583031413022	1.86678021525834	1.95512682614925	1.72920752874115	1.97273218112586	1.77539598946509	1.88174574661018	1.76657318868692	1.55153088304005
139428.14341.S120	1.51957641592079	1.15054853345708	1.12779619019614	1.36364855854039	1.35698681845722	1.3899329326394	1.46321027476745	1.23110891185024	1.13157864913317	1.37273422310667	1.41308480196212	1.38586739339863	1.22278292461064	1.335154204928	1.38025701551188	1.36462503567093	1.38462238023862	1.39182517175258	1.47705942055166	1.48524150692253	1.4105443145715	1.19124729400367
139428.14341.S121	0.813358297774109	0.706136277786644	2.85282183310803	2.54407271726195	2.65483076779421	2.69579220658729	2.45678704884799	3.16535777885365	2.87029197903271	2.75880445085738	2.70004981360413	2.42267230287854	3.10979665528015	3.04946292413414	3.08957398084945	3.13818233745743	2.91064463661049	3.26354234931656	2.92840906454933	2.9655760952152	2.98455597058401	2.70287761783678
139428.14341.S122	1.64703231388031	1.40364041675619	1.72573343683158	1.56755921114368	1.69527526529089	1.71272607902399	1.40214340640734	1.98991866059007	1.78422257954313	1.7476071080399	1.61599921584404	1.31628565290502	2.05342490750263	2.01094095118232	2.0153363538655	2.10377654061397	1.8657409913951	2.14001740702294	1.9134710966777	2.01112844090883	1.91807891543331	1.69042292447418
139428.14341.S123	0.876819982083948	0.907066786526116	2.83141439791775	2.53661472637705	2.63004103437774	2.67683088188156	2.4835507901673	3.14098852680762	2.85000986249503	2.73721569294657	2.70012550479832	2.43873164561314	3.06741102027713	3.01170917547674	3.05665176516477	3.10324982976667	2.89500059918208	3.23427750157581	2.92886698739341	2.93412883713512	2.98040546306923	2.68859565970669
139428.14341.S124	1.42877292365078	1.43702663743644	1.32295855738638	1.30747959563301	1.38042654883108	1.39129078953088	1.23592239194639	1.52625735308197	1.38672390494127	1.40774087198586	1.35435560417332	1.1463576238848	1.57171251571572	1.58058569862759	1.61535707920475	1.68672992144837	1.51461041416283	1.66382159384159	1.64229356587557	1.65519144808678	1.58700827486635	1.30006213926909
139428.14341.S127	0.957393911953982	0.665826485281383	1.26605770949761	1.61116899256023	1.53391281565595	1.49574405299588	1.7363588872396	1.2464379702183	1.18657428482329	1.48935373206893	1.58685250230418	1.69771693746529	1.16273811454569	1.30553529198863	1.33952930820656	1.30015907414091	1.44828700291801	1.31110884737064	1.40098109853817	1.47891623405422	1.36594111107995	1.33062416890163
139428.14341.S128	0.769263348992307	0.518048426499583	1.23100106596424	1.33741619583389	1.35575294822482	1.41259452965548	1.43475088659375	1.38596826127791	1.27300700674032	1.40368337291769	1.43750993477655	1.31515022298822	1.37748189395172	1.44088964698508	1.49533795503115	1.53075842879761	1.47471161468899	1.52281326507076	1.59721664566657	1.55414582441743	1.53392293039349	1.25913094211959
139428.14341.S129	1.20819186441055	0.868492059682534	1.45096012236262	1.83097746611951	1.73546594482589	1.71150188981058	2.02801420439397	1.37243034117223	1.39110042646312	1.69284645798934	1.82053768407912	1.98585904404722	1.28253203834909	1.44564243847958	1.48344586565167	1.46504783000202	1.62853956227971	1.39941369054453	1.54077055624085	1.61987361477754	1.4963660399441	1.53783546093837
139428.14341.S13	0.665829894716234	0.412216925404834	1.23993689723303	1.28307731382883	1.3249921741271	1.32527293954771	1.11397710072303	1.35813951648376	1.22600036665031	1.32578622152583	1.22203802162244	1.16689827928932	1.44981418533052	1.44615065430953	1.44374371731515	1.48920398414966	1.36207671033028	1.50522696464879	1.47754198400398	1.53803233546811	1.37004306751281	1.17936347750152
139428.14341.S130	0.860283077188229	0.612656843366405	1.41644711897306	1.36249326371187	1.45242033823881	1.46484597970358	1.22783884596838	1.6351147329231	1.48132137870715	1.48673691721959	1.38562049606809	1.14100126556122	1.70904184348129	1.6925590051322	1.70963642971693	1.79452253003082	1.59189553846813	1.79395828302779	1.6923630937783	1.74612452530165	1.65665278313401	1.39703027102737
139428.14341.S131	0.730466152772843	0.534172045952147	1.15291631353254	1.26809896517678	1.28915160858569	1.30412374608638	1.24124665825441	1.27984922618905	1.17408379053991	1.31476270431448	1.28753384654709	1.20641835917246	1.30978440311452	1.36977552034693	1.4128291504112	1.43155997385639	1.35644967574111	1.43762777405869	1.48953198294694	1.47090530238409	1.40164245289065	1.0868583307532
139428.14341.S132	0.679637660756668	0.52369799082989	1.41276280523323	1.37148791068933	1.45041309655194	1.47155705037496	1.34282924869282	1.6596736900734	1.49703849835068	1.48216973289702	1.44009515153971	1.20395828487593	1.67254890908221	1.6866235423005	1.71548257922135	1.79657173996538	1.60981078658665	1.77794260578746	1.7410020413967	1.74499360997886	1.70062605698724	1.42381301671339
139428.14341.S133	0.73240972640725	0.636397213452695	1.35151681830673	1.41376714752686	1.43173317741384	1.49138723821373	1.52124541091379	1.55614072758187	1.41484067177824	1.47815083045649	1.52912660323196	1.35977173450795	1.51603187016984	1.55664092443709	1.60975822308047	1.67835854748375	1.5950948983981	1.65617475048277	1.71963453948551	1.649192485903	1.67170440092595	1.41051778945888
139428.14341.S134	0.772518992684732	0.630584312387312	1.56378902968654	1.46166108118989	1.56384937331024	1.58710483715996	1.38960739037747	1.83892127013912	1.64818453155069	1.61330733006189	1.52554333444575	1.25256199678236	1.86441977809964	1.85657160915617	1.86396562485199	1.95548526668439	1.73593067759427	1.97357648028939	1.8446334638599	1.88629608369283	1.82702247079571	1.56797357939695
139428.14341.S135	0.685428422719513	0.707756955586138	1.21180429047975	1.29382760949004	1.32618884154438	1.36663347960813	1.34370957125548	1.37015876488712	1.2550477596316	1.36601059560529	1.37619497082551	1.24818015635159	1.37337453115111	1.43363350874633	1.48407298906058	1.52092630823349	1.43997741326805	1.50716967294915	1.5708826678187	1.53530598660086	1.49937617908946	1.19753120603911
139428.14341.S136	0.810777314122216	0.758455005078585	1.78952196958891	1.76760977684083	1.79965115417188	1.82293814096495	1.90180852267542	2.02815662226084	1.82810924914177	1.80776092200904	1.90045762793552	1.73900110438637	1.91266499818317	1.93843835563829	1.98154806361674	2.08436088143586	2.00471744073238	2.08762723068022	2.09214647535592	1.99351605553482	2.07617238624131	1.86007446824295
139428.14341.S137	0.705200865766301	0.424397512371103	1.33219322825608	1.41168269717423	1.42330687025862	1.4874714042079	1.52804199169639	1.52235803778858	1.38910084617454	1.47412923815767	1.52672229927032	1.37211394365928	1.48603917420613	1.53083064819114	1.58592184849593	1.64764651859527	1.57821148778035	1.63029000178703	1.70005771339901	1.63172674379221	1.65125936446488	1.3932935569405
139428.14341.S138	0.675907354701003	0.43964232235531	1.530421811299	1.55799664125587	1.58122168628288	1.6211209585028	1.6831963625342	1.76194863849252	1.59081598402748	1.60732103904185	1.68012050454718	1.50671088613599	1.68475400489384	1.70413339580598	1.75513809138406	1.85224478699336	1.76785264314906	1.83275843034141	1.8788482490682	1.79516923312726	1.84576766534156	1.61023480754025
139428.14341.S139	0.756865458411627	0.519862628452611	1.12971189212707	1.43004107231051	1.38424634461597	1.37857589907618	1.49719993637036	1.18244885664767	1.09219720132459	1.35836686906501	1.40890647295854	1.45454390447621	1.14213727023279	1.27758320992599	1.30693183370269	1.25050932232379	1.33524035538299	1.30993526886657	1.39389560397801	1.4427127761579	1.33860384024633	1.18506386743659
139428.14341.S14	0.920908588305654	0.653524035849873	1.25019397610111	1.29388134443857	1.34375253117828	1.34084993112521	1.1410983161992	1.35946350443185	1.2358294270497	1.33340885816677	1.22695744110112	1.19527201446618	1.45264056122866	1.44865687855092	1.43600922293236	1.48067158047961	1.36533641135986	1.4975528137371	1.47287935142796	1.53956538042069	1.36623142050648	1.19471307492513
139428.14341.S140	0.895605254266236	0.64359912332618	2.00851446426797	1.84109156079382	1.92370644873802	1.93637947881164	1.93652410994684	2.29784094995322	2.04597287004778	1.94697286588283	2.00259816869934	1.78999073552079	2.1873113703941	2.18278112292986	2.22784936514359	2.31208087581466	2.15406270748284	2.36824569762443	2.24766670565643	2.21312682799477	2.25322538419427	2.01546550434896
139428.14341.S141	0.988560933733668	0.713255008656689	1.31042225240281	1.29825597610096	1.3695956680941	1.37811981420518	1.19748619967088	1.50181085810759	1.36536355774273	1.3976650774695	1.33126994776098	1.12915336599935	1.56208581516252	1.56311758552064	1.59787764201808	1.66732371436937	1.49397374302684	1.65058593555033	1.61892217182755	1.64126832493363	1.5601014395146	1.27652559120882
139428.14341.S142	0.929048940719824	0.740122099497707	2.01192854671551	1.77474763739775	1.89345380845342	1.934208971804	1.7787857208504	2.33067516657648	2.05578797360962	1.96962880803394	1.92497518549169	1.66576889220967	2.27059893570261	2.25248818590839	2.28617494950305	2.34350966287475	2.10961933836733	2.42664728650031	2.22521384979899	2.24480531647056	2.23812597423977	1.97015878064733
139428.14341.S143	0.965404954204522	0.772502396859714	1.54336096604934	1.52077120829113	1.57196945135302	1.60458767299931	1.61508733486453	1.80718976422214	1.61574859768276	1.58892189401058	1.65017451216222	1.43555870068122	1.73489455526648	1.75472744367225	1.80389012390981	1.89453458447101	1.76342414577581	1.87630415935719	1.8887718967058	1.82608360976553	1.85421581604296	1.60732224418875
139428.14341.S144	1.13069997355327	0.971607782039857	1.8337243534651	1.64446685405022	1.78235380388602	1.80033818135558	1.47599837485757	2.10625000205843	1.88595163716508	1.83980100338764	1.70789914949075	1.39753485493444	2.16367216169333	2.11544201055498	2.12203317776396	2.20541161964305	1.96083135299436	2.2517456823178	1.99611193257524	2.10068196137665	2.01381197548745	1.78629735623407
139428.14341.S145	1.56014804706258	1.5661862764778	1.70129806765983	1.55362448930412	1.67864045021149	1.693412380141	1.36680895198521	1.95581760011978	1.75778946774716	1.72648459006295	1.58986535830665	1.29674434416034	2.03173847841802	1.98471119487329	1.98988675539596	2.07945694162193	1.84225105189905	2.11066964551143	1.8834211341084	1.98767093245686	1.885207691924	1.66524524175395
139428.14341.S146	1.06330198705397	1.13509740201241	2.1110465913161	1.84849811461612	1.98319814475385	2.02188075759017	1.78856209234131	2.42744485633077	2.13759823992454	2.06669170795549	1.98764406470878	1.70387654125019	2.39083279196875	2.35848013468027	2.38691309196247	2.43877613066436	2.1980870914223	2.53352448361981	2.28191083373799	2.33010855758389	2.30752620460555	2.0342696781076
139428.14341.S147	0.621469648908781	0.399621227960406	1.19116658951188	1.39855501014776	1.39676347577807	1.45410067986855	1.54881448857125	1.30078680766155	1.20003444698664	1.43300842066339	1.49519431318389	1.43806932549242	1.28860502901192	1.38537491375825	1.44008348409409	1.4401509673298	1.46646258188874	1.45555591550288	1.54686804115766	1.54138329007254	1.49615693370923	1.28187292683648
139428.14341.S148	0.656583461804013	0.435865575539156	1.52905807105575	1.54337627377309	1.57426672958641	1.61233120511125	1.65962863572419	1.77016856719349	1.59329919021	1.59732620106778	1.66770225187376	1.48151468836924	1.69468651671159	1.71143870872314	1.76518198645722	1.86026199536771	1.76254930323584	1.83921889312243	1.87813234027448	1.79933620601263	1.84405535963662	1.60432801522451
139428.14341.S149	0.927432646929841	0.607084274387066	1.44146892162533	1.41726208710866	1.47938912433553	1.51210787375412	1.46429116603727	1.70216407372142	1.52667288725682	1.50363043878142	1.52630500184122	1.2894220477996	1.66495381000905	1.69211543323021	1.73370029562633	1.8146013721851	1.65518966218083	1.78848046958657	1.79293067714131	1.75764013560853	1.75209371663754	1.48311153019624
139428.14341.S15	0.947186771296398	0.647208184998609	1.69089232667624	1.54575584722619	1.66996672495732	1.68494926543381	1.36221878253519	1.94529767010438	1.74810212125741	1.7176273905402	1.58166085613182	1.28938025423296	2.02054170879031	1.97485092361221	1.97983730949667	2.06957841742612	1.83313670437864	2.10029565097884	1.87676120874237	1.97938289878681	1.87743729342569	1.656189228156
139428.14341.S150	0.773868504578715	0.551186370765961	1.81820274094827	1.7434413376685	1.79802328444554	1.81686152867853	1.85354528200281	2.08219961620866	1.85290769784824	1.80739653497397	1.88880540556003	1.69738798220014	1.97121487190849	1.98647855787098	2.03063872993376	2.12837979823293	2.01141074226701	2.14170548591962	2.10889617230545	2.03511257069564	2.09208845350939	1.86927185367087
139428.14341.S151	0.692021687131465	0.4796972274703	1.10886339789509	1.31042486721781	1.30503384360545	1.31824303405668	1.32958177219278	1.20670012150577	1.1147775633073	1.31670066200012	1.30650814195434	1.28534954592211	1.22060024543588	1.316334468164	1.35358546106435	1.34094984458401	1.3237979477075	1.37340594803848	1.44250798262374	1.44756055188552	1.3569170115538	1.09988990135184
139428.14341.S152	0.767709708093577	0.587888553055262	1.75130427347314	1.58997480339789	1.6865746037771	1.72610241635656	1.58655922110554	2.06540654222714	1.82545462045039	1.75885655822152	1.71572397925247	1.44061041769179	2.02434312469806	2.0251098308166	2.05052969655954	2.11947221963895	1.89603712654296	2.16888933862857	2.02196540778026	2.04015007172661	2.01556231828238	1.7557882899659
139428.14341.S153	1.0335007503084	0.806827639382274	1.42866785892094	1.80292418959667	1.71057593925056	1.71810494021902	2.01242922314365	1.37698206173261	1.37347612219435	1.68479085008445	1.83025804802429	1.94405537524355	1.29327847381213	1.45117123519596	1.49700068705645	1.50695316131866	1.67022740030846	1.44276053781736	1.57694180079755	1.64854322559548	1.55908012051191	1.54916885400718
139428.14341.S154	0.677029153569136	0.591765616438665	1.68543746170353	1.6112857741474	1.67695469714676	1.7004032027236	1.70729014234148	1.96200965974505	1.74237550791711	1.69152575904747	1.75537966752318	1.53971408294972	1.8707804219342	1.8872140054847	1.93309175745168	2.02511616583509	1.88190315164155	2.02556882106497	2.0005235418306	1.94189334958914	1.97281431155681	1.73796112766193
139428.14341.S155	0.699792780968554	0.611469449112879	1.26647748454936	1.54976739312736	1.52609560905416	1.57404798572987	1.74711986914383	1.33199908759472	1.25343043940832	1.54082171713756	1.64533700764896	1.63692342242227	1.29372646566634	1.41807478568786	1.47261496757895	1.47203672457583	1.57057363069108	1.47086261697614	1.57562781931226	1.60753962859288	1.56093037668134	1.41794666758895
139428.14341.S156	0.787359606083868	0.747028691697872	1.62125340790801	1.67104415954077	1.67900765555217	1.71408060201091	1.82256572891227	1.83088353623539	1.66841043909923	1.70533470039921	1.78442010396971	1.65186152785813	1.73570365601063	1.76852548745379	1.81306739894074	1.91163866259563	1.86478740836764	1.90235322324259	1.95424446504133	1.85321579701405	1.92978468726251	1.71497772082655
139428.14341.S157	0.84561965002811	0.591790285196417	1.21588977858237	1.55015696493764	1.48297912223928	1.46535285643259	1.66865278286055	1.22160490869224	1.14604383094821	1.44688903235268	1.54000443520855	1.62106520894901	1.15380375725938	1.29706711968471	1.32825619352029	1.28454589427456	1.42319365441953	1.31352963382084	1.4036312662663	1.47417173040465	1.36734844150961	1.2906638564379
139428.14341.S158	0.782146022070278	0.537670387902734	1.26332078776425	1.27412544385183	1.33676043449084	1.344351931076	1.20693139028797	1.43989895875721	1.31262724895141	1.36329211188273	1.3182753083942	1.1431672461233	1.48669039410696	1.50258857033957	1.54600621276111	1.60487908261398	1.45417266136126	1.58104587392384	1.58766108211967	1.59111385679241	1.51919521646708	1.21877847178951
139428.14341.S159	0.673778536764981	0.488723165907287	1.25037839721918	1.51468415057268	1.49976891746243	1.55223718481958	1.70937523127025	1.33332081706146	1.24481129225365	1.52120643932716	1.61784106866402	1.59501976134536	1.29915214551764	1.41423663770445	1.47023259771019	1.46631474978366	1.55368400593167	1.47395813534398	1.57663084010337	1.59791577645382	1.55540734728551	1.39608242291156
139428.14341.S16	0.782915843444044	0.594415408217774	1.25368914149474	1.2704731099934	1.32440643339114	1.32908627842404	1.12572843361764	1.40933802254139	1.28279533255515	1.35170660619663	1.27488554705212	1.1153983706778	1.48814287534181	1.48397421607878	1.52267621479847	1.57944124790054	1.41917364669204	1.57377881537552	1.54999975555802	1.57798169183536	1.47258825345184	1.1944405735998
139428.14341.S160	0.92354468758466	0.703847756313802	1.16065707845179	1.25703386535534	1.28023340833586	1.28459723436666	1.18267224709363	1.28535368615742	1.17573769392084	1.30389597933468	1.25384686411624	1.17075944783421	1.33121220297243	1.37489844700844	1.41501211548613	1.43934746323412	1.34439067102786	1.44545237996675	1.4808390016112	1.47832655516237	1.3882515153334	1.07765454136328
139428.14341.S161	0.854170763695961	0.640232761534102	1.5132348164181	1.59046298207447	1.58939071159287	1.64288282529285	1.74210913329912	1.7112911897743	1.5638448862877	1.62979818961261	1.70651881312183	1.57094417086014	1.63465809864143	1.66908571473141	1.71620974894598	1.80557448617947	1.76495089913094	1.79490221299331	1.86127652818816	1.77472636192686	1.83093948176147	1.60979421095189
139428.14341.S162	0.928005797928523	0.736501131042835	1.34901410001876	1.52716105505345	1.50752200164611	1.58227628926319	1.7059640493848	1.4842362016224	1.37987024949377	1.56011709702801	1.64366091983323	1.55164027850674	1.43900820474453	1.50141629246631	1.56599567216365	1.60220296879131	1.6273923483548	1.60558351601391	1.70128143614348	1.66441017361434	1.67037579887221	1.46924650835357
139428.14341.S163	0.915004862853592	0.819598259679131	1.48579535043863	1.79664194448944	1.73935840585776	1.79330188385782	2.02555269248854	1.51215642010142	1.47643079295614	1.75398017565866	1.88774932342014	1.9061990725093	1.43503859030413	1.57053273948877	1.62525822842356	1.6664373683107	1.79355218413106	1.62374214973072	1.75520527009727	1.78319674865219	1.74774039206634	1.66006500324015
139428.14341.S164	0.834740137012269	0.780546794880965	1.23431065080533	1.38236895462667	1.38283451829055	1.44948466912765	1.51147844706849	1.37120612131074	1.26643321464429	1.4346253339614	1.48579353191076	1.38311114330489	1.35950823641176	1.42987107793938	1.48784083217291	1.51361443243981	1.49174168684949	1.515658708557	1.59949926539685	1.56413685660763	1.54386994357929	1.2968722396033
139428.14341.S165	0.65030331491548	0.695499891847141	1.26143631503061	1.47320125534569	1.46087766609432	1.52882796185517	1.65303137214018	1.37335852733168	1.27575677799248	1.50406034369062	1.58520328920363	1.52027627753396	1.34443755550638	1.43288364099911	1.49333780985644	1.5031589842588	1.54926258435944	1.51341827752859	1.61092655163187	1.60144551938146	1.57699798290327	1.38232734583937
