	dataset	All_shared_markers	Non_specific_markers	Specific_markers	Others
T5161	T5161	0.0010155721056195	0.0003385240352065	0	0.998645903859174
T54	T54	0.000988793671720501	0.0016479894528675	0.0003295978905735	0.997033618984838
T55	T55	0.00103770321687997	0.00103770321687997	0	0.99792459356624
T64	T64	0.0010097610232245	0.209693705822955	0.188152137327499	0.601144395826321
T65	T65	0.00101902173913043	0.210258152173913	0.09375	0.694972826086957
T74	T74	0.00104022191400832	0.0013869625520111	0.000346740638002774	0.997226074895978
T75	T75	0.00102179836512262	0.00136239782016349	0.000681198910081744	0.996934604904632
T84	T84	0.00100637370010064	0.000670915800067092	0	0.998322710499832
T85	T85	0.00103270223752151	0.000688468158347676	0	0.998278829604131
