samples	PC1	PC2	PC3
139428.14341.S1	0.019185029464245	0.0345463841279894	0.0859748340737225
139428.14341.S10	-0.0286791295576657	-0.0223889818450597	0.00197999141091165
139428.14341.S100	-0.0609151148613168	-0.0403160913242051	0.0180998791984909
139428.14341.S101	-0.0881314146885401	0.00451136943370817	0.0619656156737448
139428.14341.S102	-0.0732333620542933	-0.0511144215999187	0.03819303432662
139428.14341.S103	-0.0721782746035208	0.0216021083483239	0.0660629982490059
139428.14341.S104	-0.0712267209861055	-0.0467311287080106	-0.00708301182502539
139428.14341.S105	-0.0267170979800038	-0.0291399160072518	0.00536372266392151
139428.14341.S106	-0.0264029403169085	-0.0587063124290689	0.00911937591190633
139428.14341.S107	-0.0539650770986453	-0.0155944702444236	0.00974693904901273
139428.14341.S108	-0.0164639565607236	-0.053738980244584	-0.00702625349139026
139428.14341.S109	-0.0508407467114551	-0.0452425980252461	0.0141676167124502
139428.14341.S11	-0.00159439066216121	-0.0207966404220456	0.0551852669481942
139428.14341.S110	0.0128782281288367	-0.0436690300520015	-0.00811695012888633
139428.14341.S111	-0.0569216931203272	-0.025459025429821	0.0561437006518531
139428.14341.S112	0.0173847067641878	-0.0295200462532519	-0.028623388893556
139428.14341.S113	-0.0559613999364731	-0.0203726623178016	0.0475575058942163
139428.14341.S114	-0.0268689872565505	-0.0390453817797028	-0.0319385693873803
139428.14341.S115	-0.0595986782289482	-0.0373164847279844	-0.000377625026746866
139428.14341.S116	0.00634428039596547	-0.0388638056990422	-0.0200820823244383
139428.14341.S117	-0.033932401096439	-0.0439786278976313	0.0125541016799542
139428.14341.S118	0.0236842166106201	-0.0117667886224315	-0.0187179295651721
139428.14341.S119	-0.0612313083189511	-0.0356408783105058	-0.0195955789893284
139428.14341.S12	-0.0268568338346405	0.0326440645362748	0.03414442968008
139428.14341.S120	0.00688895099681394	-0.0144933250343508	-0.0376743664398106
139428.14341.S121	-0.0748105106170848	-0.0272921941891933	0.0461920394925509
139428.14341.S122	-0.0510081307964833	0.00122785578160889	-0.0331704296690154
139428.14341.S123	-0.0813672916635407	-0.0480503530467066	-0.00948104777016504
139428.14341.S124	-0.0257152837757887	-0.00666364896236121	-0.0379112353227195
139428.14341.S127	0.0472381096030129	0.0102915980408953	0.0303298940481437
139428.14341.S128	-0.00255227123411745	-0.0152767832594448	-0.0172235794457958
139428.14341.S129	0.0773441954735842	0.0257280917492684	0.107752574347448
139428.14341.S13	0.00792349112784629	0.0403921403440884	0.0469104646823918
139428.14341.S130	-0.0301518731285678	0.00304901212840686	-0.0213529611120802
139428.14341.S131	0.00684975697228037	0.00766667113140695	0.0223350814331205
139428.14341.S132	-0.035674345943617	-0.0189738394935829	-0.0587565201730134
139428.14341.S133	-0.0100186958433192	-0.0226543858175593	-0.0177788942236457
139428.14341.S134	-0.0395425440973823	-0.00901186653937633	-0.0254021749910782
139428.14341.S135	-0.008729970825471	-0.0139091022379149	-0.0332201733452052
139428.14341.S136	-0.021939950340057	-0.0464858709461453	-0.0235798491509727
139428.14341.S137	0.00492280617436742	-0.00918447348792009	0.0393999572190439
139428.14341.S138	-0.0185966361922111	-0.0367358350394723	-0.0343100115333705
139428.14341.S139	0.0343111721777187	0.0113329485011621	0.0403699117236908
139428.14341.S14	-0.0086784419253884	0.0239017733159247	-0.0407354136687546
139428.14341.S140	-0.0474416360966229	-0.0533811926858639	-0.0532494007398749
139428.14341.S141	-0.0236420593215576	-0.00163188256133428	-0.0314553028900384
139428.14341.S142	-0.0576001136898224	-0.0344093839019035	-0.0383984647379012
139428.14341.S143	-0.0197355833216426	-0.0266043554580196	-0.00592528831361974
139428.14341.S144	-0.0600765715589298	-0.00326005977105254	-0.0498292104431621
139428.14341.S145	-0.0606970662967576	-0.0069418244936482	-0.0849821344236835
139428.14341.S146	-0.0809926306291036	-0.0462745176611363	-0.112130356852064
139428.14341.S147	0.0174151188134003	-0.00804866855415424	0.0193870035885649
139428.14341.S148	-0.0222201515460265	-0.0374100353584941	-0.0420145712065671
