	metadata	all_values_identical	total_n	n_missing_values	n_real_values	completeness	n_unique_values	unique_values	unique_rate	if_character_existed	n_characters	if_all_integers	n_integers	if_numeric_existed	n_numeric	numeric_var	categorical_var
Position2	Position2	FALSE	1867	0	1867	1	9	T5161|T54|T55|T64|T65|T74|T75|T84|T85	0.0048205677557579	TRUE	1867	FALSE	0	FALSE	0	FALSE	TRUE
Position_Tooth	Position_Tooth	FALSE	1867	0	1867	1	3	T1_T2|T4|T5	0.00160685591858597	TRUE	1867	FALSE	0	FALSE	0	FALSE	TRUE
Position	Position	FALSE	1867	0	1867	1	9	T11_T21|T14|T15|T24|T25|T34|T35|T44|T45	0.0048205677557579	TRUE	1867	FALSE	0	FALSE	0	FALSE	TRUE
NicheIM	NicheIM	FALSE	1867	0	1867	1	2	I|M	0.00107123727905731	TRUE	1867	FALSE	0	FALSE	0	FALSE	TRUE
NicheUL	NicheUL	FALSE	1867	0	1867	1	3	L|U|UI	0.00160685591858597	TRUE	1867	FALSE	0	FALSE	0	FALSE	TRUE
NicheLR	NicheLR	FALSE	1867	0	1867	1	3	L|LR|R	0.00160685591858597	TRUE	1867	FALSE	0	FALSE	0	FALSE	TRUE
NicheULLR	NicheULLR	FALSE	1867	0	1867	1	5	LL|LR|UL|ULR|UR	0.00267809319764328	TRUE	1867	FALSE	0	FALSE	0	FALSE	TRUE
Gender	Gender	FALSE	1867	0	1867	1	2	B|G	0.00107123727905731	TRUE	1867	FALSE	0	FALSE	0	FALSE	TRUE
Batch	Batch	FALSE	1867	0	1867	1	3	Batch2|Batch3|Batch4	0.00160685591858597	TRUE	1867	FALSE	0	FALSE	0	FALSE	TRUE
StatusPred	StatusPred	FALSE	1867	0	1867	1	9	C2C-CC|C2C-CH|C2C-CRH|H2C-CC|H2C-CH|H2C-CRH|H2C-HH|H2C-HRH|H2H-HH	0.0048205677557579	TRUE	1867	FALSE	0	FALSE	0	FALSE	TRUE
StatusHostTooth	StatusHostTooth	FALSE	1867	0	1867	1	5	CC|CH|CRH|HH|HRH	0.00267809319764328	TRUE	1867	FALSE	0	FALSE	0	FALSE	TRUE
GroupHostTooth	GroupHostTooth	FALSE	1867	0	1867	1	14	C2C-C2C-C-C|C2C-C2S-C-C|C2C-H2C-C-C|C2C-H2C-C-RH|C2C-H2H-C-H|H2C-H2C-C-C|H2C-H2C-C-H|H2C-H2C-C-RH|H2C-H2C-H-H|H2C-H2C-H-RH|H2C-H2H-C-C|H2C-H2H-C-H|H2C-H2H-H-H|H2H-H2H-H-H	0.00749866095340118	TRUE	1867	FALSE	0	FALSE	0	FALSE	TRUE
HostID	HostID	FALSE	1867	0	1867	1	73	A1|A10|A100|A103|A104|A125|A126|A13|A14|A143|A146|A15|A151|A154|A16|A17|A18|A2|A20.2|A21|A24|A24.2|A25|A27|A29|A3|A30|A301|A33|A34|A35|A37|A38|A4|A41|A43|A46|A47|A49|A50|A51|A52|A53|A54|A56|A57|A58|A6|A61|A64|A65|A67|A7|A70|A72|A73|A76|A77|A78|A8|A80|A82|A83|A84|A87|A88|A9|A91|A93|A95|A97|A98|A99	0.0391001606855919	TRUE	1867	FALSE	0	FALSE	0	FALSE	TRUE
