	dataset	Non_specific_markers	Specific_markers	Others
T5161	T5161	0.000340136054421769	0	0.999659863945578
T54	T54	0	0	1
T55	T55	0.00104311543810848	0	0.998956884561891
T64	T64	0.248985115020298	0.190121786197564	0.560893098782138
T65	T65	0.250938886992148	0.108910891089109	0.640150221918744
T74	T74	0.00069710700592541	0	0.999302892994075
T75	T75	0.00171174255391989	0.00102704553235193	0.997261211913728
T84	T84	0.000337154416722859	0	0.999662845583277
T85	T85	0.000346020761245675	0	0.999653979238754
