	dataset	Non_specific_markers	Specific_markers	Others
T5161	T5161	0	0	1
T54	T54	0	0	1
T55	T55	0	0.000287935502447452	0.999712064497553
T64	T64	0.000388651379712398	0	0.999611348620288
T65	T65	0	0	1
T74	T74	0	0	1
T75	T75	0.000257201646090535	0.00051440329218107	0.999228395061728
T84	T84	0	0	1
T85	T85	0	0	1
