samples	PC1	PC2	PC3
142242.14341.SAMPLE1	0.00716671974413867	-0.0259659026916924	0.00368247193851102
142242.14341.SAMPLE10	-0.0144968447419105	0.0232761064089859	-0.0254627880705347
142242.14341.SAMPLE100	-0.0328891355051948	-0.00498843701211218	-0.0126416846015614
142242.14341.SAMPLE101	-0.024078322587081	0.0119691000017978	-0.0267918844850488
142242.14341.SAMPLE102	-0.0210150793825397	0.00269627386016419	0.00816262238950137
142242.14341.SAMPLE103	-0.0322116563101729	-0.00410310345963911	-0.0267113833365214
142242.14341.SAMPLE104	0.0349926987614927	0.00490781150131803	-0.0205051015161942
142242.14341.SAMPLE105	0.0104784796996393	0.00984320773627849	-0.00347953052576091
142242.14341.SAMPLE106	0.0237211756079052	-0.00742091213756222	0.0131190142773012
142242.14341.SAMPLE107	0.0125506167836643	-0.0108993201011617	0.00737318350178756
142242.14341.SAMPLE108	0.0252645804738266	-0.01687259197868	0.00823754282758309
142242.14341.SAMPLE109	0.0141771231551817	-0.0212949765234297	0.00695348665973413
142242.14341.SAMPLE11	0.0123177269409771	0.0180119407690334	-0.0107505643511887
142242.14341.SAMPLE110	-0.000541149661695342	-0.0171894078399636	0.0145899543085345
142242.14341.SAMPLE111	0.0423501467250311	-0.00243430263577611	-0.0256553052648532
142242.14341.SAMPLE112	-0.00638076454787287	-0.00378269827044403	0.0210191727902692
142242.14341.SAMPLE113	-0.0107470283179761	0.00474775451061889	0.0215008517926181
142242.14341.SAMPLE114	-0.00460820244606202	-0.0268366089613047	-0.000978159657429651
142242.14341.SAMPLE115	0.0230152558312644	0.0148521338569249	0.0103773398810737
142242.14341.SAMPLE116	0.0239259773178379	-0.023980757304735	0.0310989900561688
142242.14341.SAMPLE117	-0.0180010601690689	-0.0181039750876034	0.0099816049951718
142242.14341.SAMPLE118	-0.0256403499461824	0.00173050033617269	0.00647771019372601
142242.14341.SAMPLE119	-0.0101420442037846	0.0028356693493109	-0.0287323545098117
142242.14341.SAMPLE12	0.00108681995326493	0.00795834483220172	0.011310591594932
142242.14341.SAMPLE120	-0.0195602314751762	-0.0129673464603018	-0.0207743414409047
142242.14341.SAMPLE121	0.0111740302590574	0.012347511642106	-0.0498056382088078
142242.14341.SAMPLE122	-0.0300593992397717	-0.00168061583326534	-0.0249702326248501
142242.14341.SAMPLE123	-0.0208145451803398	0.0185106996167173	-0.0545690235353608
142242.14341.SAMPLE124	-0.0279064388965681	-0.00393861719126333	-0.0374990679091536
142242.14341.SAMPLE125	-0.0310922730139368	0.00156688801031064	-0.0155043366455898
142242.14341.SAMPLE126	-0.0171993107171249	0.00305010256867718	-0.0331478422295124
142242.14341.SAMPLE127	0.00633924497464232	-0.000546088285813459	-0.00152836863616599
142242.14341.SAMPLE128	-0.018699560200092	-0.00240080514803396	-0.0307917555320878
142242.14341.SAMPLE129	0.00250720481593872	-0.00296469097641558	0.021231128393127
142242.14341.SAMPLE13	0.00964372887868264	0.0343556377819391	-0.00234178354709849
142242.14341.SAMPLE130	0.00507990859794387	-0.00804080867155061	-0.0156153729207441
142242.14341.SAMPLE131	0.0188679300243938	-0.0214092959480961	-0.0146556786595734
142242.14341.SAMPLE132	0.00579804916235564	0.00531103964338477	-0.0195224216809757
142242.14341.SAMPLE133	0.035900154761786	-0.0341299385715779	-0.0651147055034061
142242.14341.SAMPLE134	-0.00930285803705839	-0.0146785484579038	-0.0264266163527772
142242.14341.SAMPLE135	-0.0107768820885072	-0.00985269857706063	0.0284075644936053
142242.14341.SAMPLE136	-0.00136481973617065	-0.0142405745431619	-0.0191627397231818
142242.14341.SAMPLE137	0.0122213575709648	-0.0178600445352196	-0.0418428015223964
142242.14341.SAMPLE138	-0.0231260633881361	-0.0213895990687846	0.00325760537234999
142242.14341.SAMPLE139	0.00933553039211671	-0.0297324856216006	-0.00953317211577815
142242.14341.SAMPLE14	0.0218243827868226	0.0201160107118334	-0.0290061321030731
142242.14341.SAMPLE140	-0.00686946519865106	-0.0360967880573402	-0.0302326907223072
142242.14341.SAMPLE141	0.0000190612799792339	-0.0268849916476644	-0.0508494145643066
142242.14341.SAMPLE142	-0.00921734226283443	-0.0157327640852498	-0.0406160370030294
142242.14341.SAMPLE143	0.000768694247930078	-0.0355451630874915	-0.0316653175882519
142242.14341.SAMPLE144	0.014387601734938	0.00631556645787928	-0.0528524439571896
142242.14341.SAMPLE145	0.0371584334362242	0.0105332504726086	-0.0292955919147818
142242.14341.SAMPLE146	-0.0106846123149319	-0.00932347330092022	-0.0366475023761782
142242.14341.SAMPLE147	0.0329748535745581	-0.0212308955669193	0.000619847080753154
142242.14341.SAMPLE148	0.0120576144527675	0.0118028940717124	-0.0187999230050523
142242.14341.SAMPLE149	0.0379313833251883	0.00754297094398948	-0.0122164189345791
142242.14341.SAMPLE15	0.0248182365657592	0.0153993977847075	-0.00668714804901322
142242.14341.SAMPLE150	-0.00386092074154359	0.00721670552724893	-0.0267050195472861
142242.14341.SAMPLE151	0.0245891716372549	-0.00869366240848006	0.0144445100501797
142242.14341.SAMPLE152	0.0368473713493639	-0.00892102527584318	-0.0265752994011167
142242.14341.SAMPLE153	0.039864145433641	-0.0113321234337838	-0.0228377521864639
142242.14341.SAMPLE154	0.0144897210775422	0.00212154797426472	0.0164354192162546
142242.14341.SAMPLE155	0.0107940416775076	0.000762223906730728	0.0190112158317785
142242.14341.SAMPLE156	-0.0254069933672491	-0.00591371258656385	0.0162660391525331
142242.14341.SAMPLE157	-0.0233182147667437	-0.0182895161556374	-0.0485801971666012
142242.14341.SAMPLE158	-0.0221575618391333	-0.00582130347471798	-0.0128392550027394
142242.14341.SAMPLE159	-0.0263515950211543	-0.0224196492254139	-0.0301927290804876
142242.14341.SAMPLE16	0.0107142389801185	0.0232483320780782	-0.00341802163143952
142242.14341.SAMPLE160	-0.00399273325600569	-0.0190386959545342	-0.0512586517037329
142242.14341.SAMPLE161	0.00806615762060252	-0.00938008535602512	-0.00116298479113633
142242.14341.SAMPLE162	0.00674852650678259	-0.0203938138080502	-0.0377754030183344
142242.14341.SAMPLE163	0.00868197431321865	-0.00793711910866842	-0.0267388716799961
142242.14341.SAMPLE164	0.0192486584872146	0.000634790910133194	0.00447620551698174
142242.14341.SAMPLE165	-0.0418759660773253	-0.0279832307496394	-0.00739953316442833
142242.14341.SAMPLE166	-0.0416046767396681	-0.012736386985272	-0.00223239733737985
142242.14341.SAMPLE167	0.0170532621000051	-0.0107392294574994	0.0445121642250503
142242.14341.SAMPLE168	-0.0253866930731846	0.00340760194561145	-0.0246826794917385
142242.14341.SAMPLE169	-0.0151110600758677	0.00985212870887833	0.00225561333162522
142242.14341.SAMPLE17	0.0273866579940599	0.00882727609376004	-0.0133048461980273
142242.14341.SAMPLE170	0.014469284059423	-0.00443379962778412	0.00805160566730656
142242.14341.SAMPLE171	0.0130446330748552	-0.00155376879704215	0.0206060335408512
142242.14341.SAMPLE172	0.0194645013583844	-0.00133340115959584	0.0123262880390539
142242.14341.SAMPLE173	0.00657984478719524	-0.0409631138807385	0.0494139090467647
142242.14341.SAMPLE174	0.0122201686706857	-0.0413077189401102	0.00180720817337224
142242.14341.SAMPLE175	0.0383563582055889	-0.0481285928327445	-0.0297048320951504
142242.14341.SAMPLE176	-0.0391811615225764	-0.0051378670111893	-0.0350606977494576
142242.14341.SAMPLE177	-0.03880996618287	-0.00404768518624245	-0.0210637000695773
142242.14341.SAMPLE178	0.00467325385494725	-0.0164862989020236	0.0221794259926227
142242.14341.SAMPLE179	-0.0295363769603653	0.00856269389256913	-0.0511041125354951
142242.14341.SAMPLE18	0.0114749060904031	0.0271716711441292	-0.00849786046955278
142242.14341.SAMPLE180	-0.0243812184755572	0.00522730730046656	-0.0127809358897994
142242.14341.SAMPLE181	-0.0097761124189536	0.0128162796534942	0.0105248461352683
142242.14341.SAMPLE182	-0.033481594715071	-0.00989535151965534	-0.0298129211232405
142242.14341.SAMPLE183	-0.030012634304041	0.00948660938240177	-0.0121048460824977
142242.14341.SAMPLE184	0.0254707528809478	0.0148527417966707	0.00894636273503157
142242.14341.SAMPLE185	-0.0286157136278556	0.00129321423441018	-0.0480957223451595
142242.14341.SAMPLE186	-0.0400763215120956	-0.00474542811511755	-0.019584918571472
142242.14341.SAMPLE187	-0.0211506839020723	0.00293145963225797	-0.00892362420668982
142242.14341.SAMPLE188	-0.00192089486282108	-0.0026292718685757	0.0087348708855724
142242.14341.SAMPLE189	-0.0112344136093078	0.00281635246923472	0.0115196204218453
