	dataset	Non_specific_markers	Specific_markers	Others
T5161	T5161	0	0.0145228215767635	0.985477178423237
T54	T54	0	0	1
T55	T55	0	0	1
T64	T64	0	0	1
T65	T65	0.00898721050812306	0.142758382302109	0.848254407189768
T74	T74	0	0	1
T75	T75	0.00903405142460042	0.0152883947185546	0.975677553856845
T84	T84	0	0	1
T85	T85	0	0	1
